     Angle,       PSD,
   22.4036,        41,
   22.4137,        50,
   22.4238,        52,
   22.4339,        58,
   22.4441,        63,
   22.4542,        59,
   22.4643,        68,
   22.4744,        60,
   22.4845,        70,
   22.4947,        98,
   22.5048,        96,
   22.5149,        97,
    22.525,       117,
   22.5351,       102,
   22.5453,       118,
   22.5554,        94,
   22.5655,       102,
   22.5756,       100,
   22.5857,        86,
   22.5958,        74,
    22.606,        95,
   22.6161,        86,
   22.6262,        75,
   22.6363,        80,
   22.6464,        85,
   22.6566,        82,
   22.6667,       114,
   22.6768,       108,
   22.6869,       145,
    22.697,       148,
   22.7071,       191,
   22.7173,       207,
   22.7274,       208,
   22.7375,       211,
   22.7476,       216,
   22.7577,       225,
   22.7679,       211,
    22.778,       183,
   22.7881,       160,
   22.7982,       149,
   22.8083,       141,
   22.8185,       118,
   22.8286,       104,
   22.8387,        85,
   22.8488,        67,
   22.8589,        35,
    22.869,        63,
   22.8792,        46,
   22.8893,        32,
   22.8994,        48,
   22.9095,        28,
   22.9196,        45,
   22.9298,        37,
   22.9399,        29,
     22.95,        34,
   22.9601,        28,
   22.9702,        22,
   22.9803,        41,
   22.9905,        28,
   23.0006,        49,
   23.0107,        33,
   23.0208,        42,
   23.0309,        32,
   23.0411,        42,
   23.0512,        28,
   23.0613,        30,
   23.0714,        22,
   23.0815,        29,
   23.0917,        24,
   23.1018,        30,
   23.1119,        29,
    23.122,        32,
   23.1321,        22,
   23.1422,        38,
   23.1524,        23,
   23.1625,        33,
   23.1726,        46,
   23.1827,        47,
   23.1928,        25,
    23.203,        25,
   23.2131,        43,
   23.2232,        32,
   23.2333,        26,
   23.2434,        38,
   23.2536,        24,
   23.2637,        32,
   23.2738,        38,
   23.2839,        30,
    23.294,        35,
   23.3041,        28,
   23.3143,        33,
   23.3244,        27,
   23.3345,        41,
   23.3446,        37,
   23.3547,        30,
   23.3649,        25,
    23.375,        40,
   23.3851,        35,
   23.3952,        37,
   23.4053,        26,
   23.4154,        25,
   23.4256,        32,
   23.4357,        24,
   23.4458,        34,
   23.4559,        44,
    23.466,        19,
   23.4762,        26,
   23.4863,        45,
   23.4964,        32,
   23.5065,        40,
   23.5166,        25,
   23.5268,        23,
